flavour,acquisition_date,best_before_date,production_code,production_time,card_number
strawberry,2026-04-10,2027-03-21,26080 15C,03:59,02
strawberry,2026-04-10,2027-03-21,26080 15C,03:59,06
strawberry,2026-04-10,2027-03-21,26080 15C,03:59,14
strawberry,2026-04-10,2027-03-21,26080 15C,03:59,16
strawberry,2026-04-10,2027-03-21,26080 15C,03:59,27
blackcurrant,2026-04-29,2027-03-23,26082 15C,08:44,06
blackcurrant,2026-04-29,2027-03-23,26082 15C,08:44,09
blackcurrant,2026-04-29,2027-03-23,26082 15C,08:44,14
blackcurrant,2026-05-01,2027-03-23,26082 15D,09:01,09
blackcurrant,2026-05-01,2027-03-23,26082 15C,09:01,15
strawberry,2026-05-01,2027-03-31,26090 15B,10:50,56
strawberry,2026-05-01,2027-03-31,26090 15B,10:50,56
strawberry,2026-05-01,2027-03-31,26090 15B,10:05,59
mango,2026-05-01,2027-04-01,26091 15B,07:13,31
mango,2026-05-01,2027-04-01,26091 15B,07:13,39
blackcurrant,2026-05-05,2027-03-23,26082 15D,08:44,16
blackcurrant,2026-05-05,2027-03-23,26082 15D,08:44,39
mango,2026-05-05,2027-04-01,26091 15B,07:13,29
apple,2026-08-08,2027-04-02,26092 15B,19:12,15
strawberry,2026-08-08,2027-04-08,26098 15A,20:08,16
apple,2026-08-08,2027-04-02,26092 15B,19:12,14
